#,asset,date,volume,close_usd,sector_level1,sector_level2
8885,Facebook Class A ,12/14/2021,20461024,333.74,Technology,Software & IT Services
8886,Facebook Class A ,12/15/2021,24681325,341.65992,Technology,Software & IT Services
8887,Facebook Class A ,12/16/2021,22635024,334.89991,Technology,Software & IT Services
8888,Facebook Class A ,12/17/2021,40012637,333.79004,Technology,Software & IT Services
8889,Facebook Class A ,12/20/2021,17901782,325.44996,Technology,Software & IT Services
8890,Facebook Class A ,12/21/2021,16116786,334.19996,Technology,Software & IT Services
8891,Facebook Class A ,12/22/2021,16764567,330.44996,Technology,Software & IT Services
8892,Facebook Class A ,12/23/2021,13987700,335.24,Technology,Software & IT Services
8893,Facebook Class A ,12/24/2021,0,335.24,Technology,Software & IT Services
8894,Facebook Class A ,12/27/2021,17795028,346.17994,Technology,Software & IT Services
8895,Facebook Class A ,12/28/2021,16637610,346.21998,Technology,Software & IT Services
8896,Facebook Class A ,12/29/2021,10747008,342.93995,Technology,Software & IT Services
8897,Facebook Class A ,12/30/2021,10593348,344.36011,Technology,Software & IT Services
8898,Facebook Class A ,12/31/2021,12870481,336.3501,Technology,Software & IT Services
8899,Facebook Class A ,1/3/2022,14562848,338.54004,Technology,Software & IT Services
8900,Facebook Class A ,1/4/2022,15997973,336.53003,Technology,Software & IT Services
8901,Facebook Class A ,1/5/2022,20564520,324.16993,Technology,Software & IT Services
8902,Facebook Class A ,1/6/2022,27962809,332.45997,Technology,Software & IT Services
8903,Facebook Class A ,1/7/2022,14722020,331.79004,Technology,Software & IT Services
8904,Facebook Class A ,1/10/2022,24942383,328.07007,Technology,Software & IT Services
8905,Facebook Class A ,1/11/2022,16226848,334.37012,Technology,Software & IT Services
8906,Facebook Class A ,1/12/2022,14104860,333.26001,Technology,Software & IT Services
8907,Facebook Class A ,1/13/2022,14797110,326.47999,Technology,Software & IT Services
8908,Facebook Class A ,1/14/2022,16868497,331.89991,Technology,Software & IT Services
8909,Facebook Class A ,1/17/2022,0,331.89991,Technology,Software & IT Services
8910,Facebook Class A ,1/18/2022,22677333,318.14991,Technology,Software & IT Services
8911,Facebook Class A ,1/19/2022,20814739,319.59009,Technology,Software & IT Services
8912,Facebook Class A ,1/20/2022,16925032,316.56006,Technology,Software & IT Services
8913,Facebook Class A ,1/21/2022,28710719,303.16993,Technology,Software & IT Services
8914,Facebook Class A ,1/24/2022,38936903,308.70997,Technology,Software & IT Services
8915,Facebook Class A ,1/25/2022,25108454,300.14991,Technology,Software & IT Services
8916,Facebook Class A ,1/26/2022,28348801,294.62989,Technology,Software & IT Services
8917,Facebook Class A ,1/27/2022,21629922,294.6399,Technology,Software & IT Services
8918,Facebook Class A ,1/28/2022,21871622,301.70997,Technology,Software & IT Services
8919,Facebook Class A ,1/31/2022,21579473,313.26001,Technology,Software & IT Services
8920,Facebook Class A ,2/1/2022,18023797,319,Technology,Software & IT Services
8921,Facebook Class A ,2/2/2022,58458282,323,Technology,Software & IT Services
8922,Facebook Class A ,2/3/2022,188119940,237.76,Technology,Software & IT Services
8923,Facebook Class A ,2/4/2022,89342250,237.09,Technology,Software & IT Services
8924,Facebook Class A ,2/7/2022,88613813,224.91001,Technology,Software & IT Services
8925,Facebook Class A ,2/8/2022,94729688,220.18,Technology,Software & IT Services
8926,Facebook Class A ,2/9/2022,86563250,232,Technology,Software & IT Services
8927,Facebook Class A ,2/10/2022,49310356,228.07001,Technology,Software & IT Services
8928,Facebook Class A ,2/11/2022,46156942,219.55001,Technology,Software & IT Services
8929,Facebook Class A ,2/14/2022,38184036,217.7,Technology,Software & IT Services
8930,Facebook Class A ,2/15/2022,42685473,221,Technology,Software & IT Services
8931,Facebook Class A ,2/16/2022,45817458,216.54,Technology,Software & IT Services
8932,Facebook Class A ,2/17/2022,38747532,207.71001,Technology,Software & IT Services
8933,Facebook Class A ,2/18/2022,37128438,206.16001,Technology,Software & IT Services
8934,Facebook Class A ,2/21/2022,0,206.16001,Technology,Software & IT Services
8935,Facebook Class A ,2/22/2022,39852391,202.08001,Technology,Software & IT Services
8936,Facebook Class A ,2/23/2022,44481360,198.45,Technology,Software & IT Services
8937,Facebook Class A ,2/24/2022,49957168,207.60001,Technology,Software & IT Services
8938,Facebook Class A ,2/25/2022,37627551,210.48,Technology,Software & IT Services
8939,Facebook Class A ,2/28/2022,34239805,211.03,Technology,Software & IT Services
8940,Facebook Class A ,3/1/2022,27094903,203.49001,Technology,Software & IT Services
8941,Facebook Class A ,3/2/2022,29452149,208.11001,Technology,Software & IT Services
8942,Facebook Class A ,3/3/2022,27263524,202.97001,Technology,Software & IT Services
8943,Facebook Class A ,3/4/2022,32146266,200.06,Technology,Software & IT Services
8944,Facebook Class A ,3/7/2022,38560610,187.47001,Technology,Software & IT Services
8945,Facebook Class A ,3/8/2022,37508149,190.29,Technology,Software & IT Services
8946,Facebook Class A ,3/9/2022,31894696,198.5,Technology,Software & IT Services
8947,Facebook Class A ,3/10/2022,24852977,195.21001,Technology,Software & IT Services
8948,Facebook Class A ,3/11/2022,34694536,187.61001,Technology,Software & IT Services
8949,Facebook Class A ,3/14/2022,31010461,186.63001,Technology,Software & IT Services
8950,Facebook Class A ,3/15/2022,31721684,192.03,Technology,Software & IT Services
8951,Facebook Class A ,3/16/2022,40640266,203.63001,Technology,Software & IT Services
8952,Facebook Class A ,3/17/2022,29499680,207.84,Technology,Software & IT Services
8953,Facebook Class A ,3/18/2022,52127981,216.49001,Technology,Software & IT Services
8954,Facebook Class A ,3/21/2022,30142340,211.49001,Technology,Software & IT Services
8955,Facebook Class A ,3/22/2022,31998801,216.65,Technology,Software & IT Services
8956,Facebook Class A ,3/23/2022,23717321,213.46001,Technology,Software & IT Services
8957,Facebook Class A ,3/24/2022,31502313,219.57001,Technology,Software & IT Services
8958,Facebook Class A ,3/25/2022,40039028,221.82001,Technology,Software & IT Services
8959,Facebook Class A ,3/28/2022,26224141,223.59,Technology,Software & IT Services
8960,Facebook Class A ,3/29/2022,31417856,229.86001,Technology,Software & IT Services
8961,Facebook Class A ,3/30/2022,25588047,227.85001,Technology,Software & IT Services
8962,Facebook Class A ,3/31/2022,24192266,222.36001,Technology,Software & IT Services
8963,Facebook Class A ,4/1/2022,19544758,224.85001,Technology,Software & IT Services
8964,Facebook Class A ,4/4/2022,28100825,233.89,Technology,Software & IT Services
8965,Facebook Class A ,4/5/2022,29727180,231.84,Technology,Software & IT Services
8966,Facebook Class A ,4/6/2022,28995079,223.30001,Technology,Software & IT Services
8967,Facebook Class A ,4/7/2022,21037188,222.95,Technology,Software & IT Services
8968,Facebook Class A ,4/8/2022,18375711,222.33001,Technology,Software & IT Services
8969,Facebook Class A ,4/11/2022,20516586,216.46001,Technology,Software & IT Services
8970,Facebook Class A ,4/12/2022,20128829,214.14,Technology,Software & IT Services
